title,poster_url,trailer_url
Irklais per Atlanta,https://static.kinoafisha.info/k/movie_posters/1080x1920/upload/movie_posters/2/0/6/8373602/434463611708071518.jpg,
Побег из Шоушенка,https://static.kinoafisha.info/k/movie_posters/1080x1920/upload/movie_posters/1/7/5/7731571/0c4b4ffa097248647fe5ed7dc155336b.jpeg,https://www.kinoafisha.info/trailers/94eb3eafd1573e5ea71cb26c6850dca0/
Рай под ногами матерей,https://static.kinoafisha.info/k/movie_posters/1080x1920/upload/movie_posters/6/7/7/8374776/295324141319.jpg,https://www.kinoafisha.info/trailers/4d3c9662bb75e509ab38454d69167bb1/
SUGA | Agust D TOUR ‘D-DAY’ THE MOVIE,https://static.kinoafisha.info/k/movie_posters/1080x1920/upload/movie_posters/7/0/2/8375207/361660131709832008.jpg,
Suga: Road to D-Day,https://static.kinoafisha.info/k/movie_posters/1080x1920/upload/movie_posters/8/7/0/8371078/689176641684319391.jpg,
Мой мир SHINee,https://static.kinoafisha.info/k/movie_posters/1080x1920/upload/movie_posters/0/1/9/8372910/640505696873.jpg,https://www.kinoafisha.info/trailers/2b7cda7bf75a9012268801d1a00c9256/
Зеленая миля,https://static.kinoafisha.info/k/movie_posters/1080x1920/upload/movie_posters/9/0/4/4982409/94eaf5ce2e48062a9615b05a6db8cc03.jpeg,https://www.kinoafisha.info/trailers/59a222a865bdb2e2b1e06d0b376debb8/
Человек-Паук: Паутина Вселенных,https://static.kinoafisha.info/k/movie_posters/1080x1920/upload/movie_posters/4/2/1/8365124/661375314418.jpg,https://www.kinoafisha.info/trailers/436c7a8f5d11572658a07c6fc74f0571/
Властелин Колец: Братство Кольца,https://static.kinoafisha.info/k/movie_posters/1080x1920/upload/movie_posters/3/2/3/3337323/ec158c527747ebe1ec59e596876280eb.jpeg,https://www.kinoafisha.info/trailers/ba082386500c34b1cba155f85a794d18/
Крестный отец,https://static.kinoafisha.info/k/movie_posters/1080x1920/upload/movie_posters/2/7/1/3974172/4500b7ee06727138baf3c8ad50012a2a.jpg,https://www.kinoafisha.info/trailers/04d597cdeb9485281de7a7292c6e4185/
Дюна: Часть вторая,https://static.kinoafisha.info/k/movie_posters/1080x1920/upload/movie_posters/6/1/6/8365616/741516774689.jpg,https://www.kinoafisha.info/trailers/9f8ce7c432027f45ec34adb2b1dc0a4c/
Начало,https://static.kinoafisha.info/k/movie_posters/1080x1920/upload/movie_posters/8/0/0/7794008/80effb069c0c4fb6e54e1d3b2220d81d.jpg,https://www.kinoafisha.info/trailers/e03fe50a491ea6e56ca3d66dd33dbaca/
